muleID,startTime,endTime,numberOfRuns,filesRead,dataVolume,documentCalls,loadDuration,getResultDuration
0,1734093586254,1734093780398,15,2946,424224,4416,134777,58930
1,1734093586081,1734093780419,15,2936,422784,4401,136641,57526
2,1734093586251,1734093780513,15,2924,421056,4383,136029,57706
3,1734093586249,1734093780587,15,2962,426528,4440,135678,58130
4,1734093586083,1734093780613,10,1980,285120,2967,139563,54742
5,1734093586073,1734093780581,11,1992,286848,2985,139933,54475
6,1734093586075,1734093780469,11,2012,289728,3015,139081,55282
7,1734093586265,1734093780343,11,1990,286560,2982,139388,54264
8,1734093586097,1734093780614,11,2018,290592,3024,139306,54998
9,1734093586078,1734093780613,11,2054,295776,3078,138511,55831
10,1734093586080,1734093780621,11,2010,289440,3012,138906,55387
11,1734093586258,1734093780465,10,1914,275616,2868,139837,53952
12,1734093586092,1734093780458,11,2022,291168,3030,139023,55186
13,1734093586078,1734093780539,11,2080,299520,3117,138152,56140
14,1734093586072,1734093780166,11,2046,294624,3066,138353,55733
15,1734093586099,1734093780622,10,1944,279936,2913,139904,54385
16,1734093586083,1734093780378,11,2060,296640,3087,139087,55048
17,1734093586086,1734093780509,11,2008,289152,3009,139395,54870
18,1734093586075,1734093780499,16,3000,432000,4497,136153,58084
19,1734093586106,1734093780421,15,2936,422784,4401,136998,57282
20,1734093586251,1734093780486,15,2962,426528,4440,135998,57763
21,1734093586081,1734093780402,16,3078,443232,4614,136035,58178
22,1734093586254,1734093780420,15,2942,423648,4410,136687,57045
23,1734093586091,1734093780449,16,3036,437184,4551,135829,58367
24,1734093586266,1734093780574,10,1912,275328,2865,140050,53769
25,1734093586086,1734093780391,11,1986,285984,2976,139256,54884
26,1734093586249,1734093780576,11,2062,296928,3090,137883,55955
27,1734093586103,1734093780385,11,2016,290304,3021,138668,55468
28,1734093586264,1734093780535,10,1958,281952,2934,139590,54261
29,1734093586105,1734093780557,11,2044,294336,3063,137947,56365
30,1734093586084,1734093780570,10,1972,283968,2955,140037,54233
31,1734093586080,1734093780626,11,2044,294336,3063,138537,55750
32,1734093586091,1734093780583,10,1960,282240,2937,140370,53764
33,1734093586248,1734093780396,10,1962,282528,2940,138447,55278
34,1734093586089,1734093780489,11,2060,296640,3087,138506,55735
35,1734093586079,1734093780381,11,2094,301536,3138,138943,55227
