muleID,startTime,endTime,numberOfRuns,filesRead,dataVolume,documentCalls,loadDuration,getResultDuration
0,1734093041925,1734093222043,163,21092,24696119,31635,114430,64298
1,1734093041912,1734093222043,163,21120,24737387,31677,114458,64329
2,1734093041922,1734093222042,164,21196,24841962,31791,114298,64471
3,1734093041912,1734093222042,181,23480,27509989,35217,108797,70099
4,1734093041918,1734093222049,181,23468,27492305,35199,108822,70049
5,1734093041913,1734093222038,181,23526,27577783,35286,108936,69909
6,1734093041915,1734093222052,178,23050,26993849,34572,109577,69205
7,1734093041914,1734093222052,178,23106,27076383,34656,109657,69155
8,1734093041922,1734093222038,178,23136,27120595,34701,109433,69398
9,1734093041917,1734093222037,182,23548,27587918,35319,108719,70141
10,1734093041916,1734093222051,181,23452,27468724,35175,109064,69726
11,1734093041925,1734093222049,181,23464,27486410,35193,108657,70144
12,1734093041921,1734093222049,182,23620,27677124,35427,108544,70281
13,1734093041924,1734093222042,179,23192,27163932,34785,109448,69341
14,1734093041919,1734093222045,179,23174,27137402,34758,109449,69379
15,1734093041917,1734093222043,178,23110,27082278,34662,109875,68851
16,1734093041916,1734093222037,179,23192,27163932,34785,109544,69275
17,1734093041911,1734093222051,163,21134,24758020,31698,114605,64134
18,1734093041927,1734093222038,163,21116,24731491,31671,114488,64201
19,1734093041931,1734093222043,163,21146,24775704,31716,114398,64283
20,1734093041911,1734093222039,163,21138,24763914,31704,114539,64198
21,1734093041912,1734093222038,163,21070,24690510,31602,114603,64095
22,1734093041916,1734093222052,163,21116,24731491,31671,114786,63909
23,1734093041915,1734093222037,181,23530,27583676,35292,108587,70229
24,1734093041914,1734093222041,181,23494,27530624,35238,108854,70027
25,1734093041920,1734093222051,181,23470,27495253,35202,108641,70114
26,1734093041918,1734093222052,179,23152,27129317,34726,109278,69472
27,1734093041924,1734093222049,179,23150,27128846,34722,109340,69492
28,1734093041922,1734093222037,178,23088,27049854,34629,109682,69093
29,1734093041923,1734093222042,181,23440,27451037,35157,108914,69839
30,1734093041933,1734093222047,181,23468,27492305,35199,108969,69893
31,1734093041927,1734093222039,181,23516,27563048,35271,108552,70221
32,1734093041926,1734093222041,181,23462,27483463,35190,108717,70046
33,1734093041924,1734093222037,178,23116,27091121,34671,109446,69268
34,1734093041920,1734093222039,178,23130,27111755,34692,109599,69221
35,1734093041919,1734093222045,178,23098,27064592,34644,109609,69285
36,1734093041910,1734093222038,178,23036,26980215,34551,109773,69037
37,1734093041922,1734093222050,163,21140,24766861,31710,114437,64226
38,1734093041912,1734093222042,162,21026,24638047,31536,114818,63911
39,1734093041914,1734093222047,163,21118,24734439,31674,114350,64443
40,1734093041923,1734093222048,162,21042,24661629,31560,114648,64106
41,1734093041913,1734093222050,163,21080,24692865,31617,114829,63927
42,1734093041931,1734093222039,163,21150,24781600,31722,114356,64387
43,1734093041917,1734093222051,181,23472,27498201,35205,108834,69952
44,1734093041916,1734093222041,182,23606,27656491,35406,108383,70476
45,1734093041925,1734093222043,182,23600,27647649,35397,108627,70207
46,1734093041912,1734093222052,178,23090,27052801,34632,109556,69260
47,1734093041914,1734093222050,178,23112,27085226,34665,109453,69326
48,1734093041927,1734093222040,178,23066,27017431,34596,109481,69297
49,1734093041931,1734093222041,181,23500,27539466,35247,108730,70093
50,1734093041926,1734093222040,182,23592,27635859,35385,108241,70605
51,1734093041930,1734093222037,181,23520,27568943,35277,108655,70241
52,1734093041911,1734093222041,182,23560,27591209,35340,108691,70165
53,1734093041912,1734093222051,179,23202,27178671,34800,109213,69607
54,1734093041931,1734093222042,178,23100,27067540,34647,109496,69313
55,1734093041912,1734093222044,179,23188,27158037,34779,109470,69300
56,1734093041914,1734093222050,179,23168,27133082,34749,109503,69384
57,1734093041930,1734093222038,162,21028,24640995,31539,114915,63873
58,1734093041933,1734093222046,163,21094,24699066,31638,114623,64096
59,1734093041914,1734093222044,163,21150,24781600,31722,114460,64258
60,1734093041926,1734093222040,162,21036,24652785,31551,114853,63826
61,1734093041927,1734093222051,163,21142,24769809,31710,114506,64293
62,1734093041913,1734093222041,163,21130,24752125,31692,114323,64379
63,1734093041914,1734093222050,181,23518,27565996,35274,108799,69988
64,1734093041927,1734093222037,181,23518,27565996,35274,108765,70074
65,1734093041924,1734093222049,181,23512,27557153,35265,108779,70087
66,1734093041915,1734093222063,179,23164,27132141,34743,109309,69451
67,1734093041912,1734093222038,178,23040,26981625,34560,109711,69075
68,1734093041922,1734093222050,178,23116,27091121,34671,109805,69021
